T(℃),P(atm),Cu(g),S(g),Fe(g),SiO2(g),Pb(g),Zn(g),MgO(g),Al2O3(g),Ni(g),Sb(g),Bi(g),CaO(g),As(g),O2(g),matte_Cu_pct,matte_Fe_pct,matte_S_pct,matte_Ni_pct,matte_Zn_pct,matte_Pb_pct,matte_As_pct,matte_mass_g,slag_Cu_pct,slag_FeO_pct,slag_SiO2_pct,slag_FeO_SiO2_ratio,slag_Al2O3_pct,slag_CaO_pct,slag_MgO_pct,slag_ZnO_pct,slag_mass_g,gas_SO2_mol,gas_S2_mol,gas_SO_mol,gas_SSO_mol,gas_SO3_mol,gas_Zn_mol,gas_PbS_mol,gas_CuS_mol,gas_Pb_mol,gas_Sb_mol,gas_As_mol,gas_mass_g
1200.0,1.0,20.634,22.485,25.988,12.064,0.674,2.74,1.822,1.113,0.252,0.07,0.01,0.478,0.009,21.0,59.447,12.745,24.563,0.49316,2.7425,0.0080019,0.0,34.113,0.5067168628136138,44.703,33.296,1.3425937049495436,3.7555,1.5884,2.9652,6.2926,29.156,0.98299,0.01148,0.002341,0.0017834,4.0094e-06,0.00055902,4.2426e-06,8.5893e-07,1.3511e-07,2.4237e-08,1.8004e-08,26.906
1200.0,1.0,20.162,25.292,25.376,13.049,0.042,0.207,1.155,2.061,0.466,0.088,0.01,0.631,0.01,21.0,55.786,17.317,25.445,1.2428,0.20288,0.0049661,0.0,35.791,0.46196135858550563,48.56,32.967,1.4729881396548063,5.2068,1.5941,2.9179,0.41312,38.899,0.97811,0.016113,0.0025418,0.0022941,3.6562e-06,3.5092e-05,3.4368e-06,8.7464e-07,9.238e-08,1.9676e-08,1.3804e-08,30.872
1200.0,1.0,21.004,21.672,18.805,19.186,0.53,3.01,2.672,1.946,0.141,0.127,0.011,1.392,0.003,21.0,72.148,4.3629,21.939,0.2531,1.2921,0.0048886,0.0,28.635,0.4223306660143965,37.92,39.637,0.9566818881348236,4.5219,3.2121,3.8078,6.9162,42.888,0.99262,0.0032773,0.0017196,0.00069994,5.5659e-06,0.00043986,2.8256e-06,7.586e-07,1.6841e-07,7.8893e-08,4.3048e-09,30.251
1200.0,1.0,22.347,25.896,23.351,12.208,0.024,0.257,0.451,2.423,0.03,0.082,0.01,1.127,0.01,21.0,58.552,16.142,24.974,0.076134,0.24487,0.0097134,0.0,37.904,0.42298792088895104,46.18,35.189,1.3123419250333912,6.9841,3.2485,1.3,0.57181,34.218,0.97969,0.014791,0.0024899,0.0021531,3.7443e-06,4.4133e-05,6.5887e-06,8.9755e-07,1.8485e-07,1.9994e-08,1.7731e-08,31.668
1200.0,1.0,21.502,19.932,19.769,17.057,0.159,0.981,1.881,2.814,0.142,0.159,0.012,2.246,0.008,21.0,76.352,1.9433,21.054,0.39053,0.25567,0.002368,0.0,27.866,0.44309636732126634,32.022,44.403,0.721167488683197,7.3713,5.8818,4.7584,2.7964,38.148,0.99531,0.0012235,0.001346,0.00033475,7.1495e-06,0.00012965,1.4749e-06,6.28e-07,1.4387e-07,1.9213e-07,1.2292e-08,28.041
1200.0,1.0,19.444,21.109,19.36,21.23,0.022,0.136,0.807,3.262,0.141,0.128,0.011,1.226,0.011,21.0,74.227,3.6943,21.551,0.48751,0.036091,0.0029897,0.0,25.844,0.5311329932210497,41.606,42.784,0.9724663425579657,6.8324,2.5679,1.6903,0.32714,47.643,0.99395,0.0025956,0.0016233,0.00058801,5.912e-06,1.3093e-05,1.9269e-06,7.3554e-07,1.2905e-07,9.3392e-08,1.1764e-08,30.867
1200.0,1.0,21.899,21.134,21.268,17.572,0.094,0.454,1.711,3.263,0.467,0.195,0.016,3.444,0.059,21.0,70.813,5.3273,22.204,1.4075,0.23766,0.0020485,0.0,30.727,0.25499712768187854,33.088,42.574,0.7771879550899611,7.9057,8.3442,4.1454,1.0899,41.202,0.99118,0.0040257,0.001809,0.00081608,5.2755e-06,7.3353e-05,1.3128e-06,7.839e-07,7.0599e-08,8.6579e-08,1.1047e-07,28.422
1200.0,1.0,21.525,24.512,23.407,14.616,0.0,0.35,2.701,1.283,0.318,0.058,0.009,0.321,0.009,21.0,61.655,13.17,24.254,0.60195,0.31288,0.005766,0.0,34.35,0.46660655182053257,48.498,34.48,1.406554524361949,4.2187,1.0308,3.1786,0.80566,30.026,0.98352,0.011639,0.0023497,0.0018025,3.9989e-06,6.2447e-05,3.8311e-06,8.901e-07,1.2116e-07,2.0306e-08,1.483e-08,31.081
1200.0,1.0,19.262,13.459,29.548,14.851,0.619,0.747,1.12,1.588,0.279,0.077,0.011,1.253,0.021,21.0,79.262,0.11225,20.244,0.33263,0.024732,0.00039689,0.0,23.448,1.935882060241806,22.303,50.138,0.4448322629542463,8.1354,6.4891,5.0471,3.6875,19.257,0.99789,3.3508e-05,0.00054824,2.2565e-05,1.7643e-05,6.9608e-05,2.0776e-07,2.6645e-07,1.2246e-07,2.5331e-06,2.292e-08,17.127
1200.0,1.0,17.963,23.528,23.687,17.646,0.5,1.601,0.49,1.353,0.015,0.062,0.018,0.537,0.348,21.0,59.822,14.161,24.657,0.030748,1.2897,0.011867,0.0,29.328,0.5599633894751556,47.613,36.111,1.3185179031320098,2.7855,1.1055,1.0088,3.1152,47.746,0.97814,0.015553,0.0025194,0.0022341,3.6888e-06,0.0002263,7.2214e-06,9.2843e-07,1.9757e-07,1.6997e-08,4.9252e-07,30.723
