T(¡æ)	P(atm)	Cu(g)	S(g)	Fe(g)	SiO2(g)	Pb(g)	Zn(g)	MgO(g)	Al2O3(g)	Ni(g)	Sb(g)	Bi(g)	CaO(g)	As(g)	O2(g)
1200	1	20.634	22.485	25.988	12.064	0.674	2.74	1.822	1.113	0.252	0.07	0.01	0.478	0.009	21
1200	1	20.162	25.292	25.376	13.049	0.042	0.207	1.155	2.061	0.466	0.088	0.01	0.631	0.01	21
1200	1	21.004	21.672	18.805	19.186	0.53	3.01	2.672	1.946	0.141	0.127	0.011	1.392	0.003	21
1200	1	22.347	25.896	23.351	12.208	0.024	0.257	0.451	2.423	0.03	0.082	0.01	1.127	0.01	21
1200	1	21.502	19.932	19.769	17.057	0.159	0.981	1.881	2.814	0.142	0.159	0.012	2.246	0.008	21
1200	1	19.444	21.109	19.36	21.23	0.022	0.136	0.807	3.262	0.141	0.128	0.011	1.226	0.011	21
1200	1	21.899	21.134	21.268	17.572	0.094	0.454	1.711	3.263	0.467	0.195	0.016	3.444	0.059	21
1200	1	21.525	24.512	23.407	14.616	0	0.35	2.701	1.283	0.318	0.058	0.009	0.321	0.009	21
1200	1	19.262	13.459	29.548	14.851	0.619	0.747	1.12	1.588	0.279	0.077	0.011	1.253	0.021	21
1200	1	17.963	23.528	23.687	17.646	0.5	1.601	0.49	1.353	0.015	0.062	0.018	0.537	0.348	21
1200	1	18.788	26.165	24.724	18.25	0.361	1.782	1.513	0.74	0.483	0.059	0.012	0.236	0.112	21
1200	1	17.677	37.517	23.562	12.621	0.886	3.179	0.185	1.074	0.035	0.07	0.044	0.689	1.235	21
1200	1	19.757	16.287	26.999	15.57	0.396	0.701	2.858	0.868	0.329	0.05	0.01	0.38	0.017	21
1200	1	18.649	28.969	23.423	15.846	0.603	2.205	2.085	0.858	0.247	0.068	0.029	0.513	0.696	21
1200	1	18.771	22.33	19.687	24.081	0.529	2.885	1.775	1.347	0.213	0.09	0.009	0.774	0.003	21
1200	1	17.284	15.986	23.988	21.932	0.387	0.55	1.175	2.36	0.076	0.055	0.013	2.806	0.023	21
1200	1	18.745	25.783	22.733	16.498	0.294	1.215	1.721	1.181	0.194	0.073	0.02	0.477	0.388	21
1200	1	20.073	35.565	24.8	7.148	0.773	3.21	0.832	1.255	0.051	0.062	0.032	0.654	0.787	21
1200	1	21.687	20.987	23.339	15.508	0.018	0.509	5.813	0.485	0.703	0.074	0.009	0.226	0.01	21
1200	1	19.264	19.228	28.4	14.023	0.389	0.618	1.143	1.56	0.443	0.076	0.01	0.691	0.015	21
1200	1	17.942	33.357	22.172	15.735	0.876	3.662	0.808	0.904	0.028	0.061	0.032	0.328	0.843	21
1200	1	19.127	27.512	23.978	15.598	0.243	0.975	1.387	1.455	0.34	0.068	0.018	0.246	0.309	21
1200	1	20.125	19.596	18.246	21.729	0.044	0.358	0.624	3.595	0.017	0.156	0.012	2.772	0.009	21
1200	1	19.332	18.536	24.666	16.63	0.24	0.475	2.947	1.697	0.414	0.075	0.011	0.832	0.016	21
1200	1	18.371	24.371	18.972	23.029	0.632	3.309	1.453	1.375	0.007	0.07	0.013	0.528	0.152	21
1200	1	19.343	29.358	23.418	12.947	0.385	1.847	0.649	1.637	0.02	0.043	0.018	0.44	0.307	21
1200	1	17.005	12.335	28.578	19.541	0.644	0.726	0.728	1.416	0.2	0.046	0.009	0.368	0.021	21
1200	1	18.818	15.939	27.37	16.32	0.654	1.388	0.62	1.433	0.009	0.042	0.01	0.641	0.017	21
1200	1	19.837	23.782	20.722	16.603	0.019	0.181	0.626	3.143	0.013	0.088	0.01	0.902	0.011	21
1200	1	19.109	9.156	22.234	24.202	0.521	0.626	0.577	3.219	0.013	0.164	0.013	3.169	0.019	21
1200	1	17.644	25.835	22.364	16.668	0.032	0.123	1.216	3.617	0.108	0.04	0.019	5.36	0.027	21
1200	1	19.195	26.322	23.916	14.399	0.248	1.119	1.162	1.914	0.322	0.078	0.014	0.343	0.162	21
1200	1	19.593	21.657	25.005	13.484	0.148	0.421	0.911	1.683	0.133	0.067	0.009	0.629	0.011	21
1200	1	21.22	20.862	22.779	17.299	0.011	0.482	5.477	0.532	0.662	0.072	0.009	0.227	0.009	21
1200	1	17.958	33.631	24.055	12.383	0.658	2.396	0.334	1.055	0.04	0.061	0.034	0.375	0.901	21
1200	1	17.341	19.489	23.637	21.979	0.191	0.357	1.426	1.708	0.241	0.049	0.011	1.793	0.017	21
1200	1	21.97	28.157	24.523	10.267	0.005	0.254	0.287	2.126	0.01	0.046	0.01	0.761	0.011	21
1200	1	20.476	20.614	18.825	18.935	0.234	1.047	0.744	3.262	0.015	0.178	0.017	2.762	0.184	21
1200	1	20.142	19.815	25.417	12.965	0.273	0.473	0.999	2.06	0.08	0.071	0.01	0.538	0.015	21
1200	1	20.274	22.38	20.124	19.761	0.327	1.846	1.357	2.393	0.169	0.122	0.011	1.764	0.006	21
1200	1	20.172	20.338	18.015	22.04	0.148	0.69	2.083	3.364	0.192	0.169	0.019	3.739	0.19	21
